105121481662541824	#dexter	3	I forgot how sad the first episode of the 5th season of Dexter is. #depressing #dexter #darkpassenger
104319460143415296	#dexter	5	Oct. 2 is almost too far away for me to wait for the return of #Dexter!
103641916586999808	#dexter	5	Not Available
100544750414864384	#dexter	3	@iheardavoicesay is finally catching up to me with #Dexter. I'm only up to season 4, but he has almost finished season 2 today @ home, ill.
102220476499243008	#dexter	3	I downloaded the first season of #Dexter, gonna start watching the 2nd episode. Time to tweet #twittwit ^^
101769300683141120	#dexter	5	Let's see if I can wrap up season three of #Dexter tonight: only 1 more episode to go till the season finale. Roll on series four please!
100395522971545601	#dexter	4	Not Available
103277622636716032	#dexter	5	#3words "Tonight's the night" #dexter @SHO_Dexter
106222697310208000	#dexter	5	#ICanHonestlySay #Dexter is such a good show, I may order Showtime just because of it.
104653618153668609	#dexter	3	@dazzlindez @hotspur18 Don't feel obliged to discuss #Dexter tonight. Living it large in Brighton so please use direct messages....
102976668825698305	#dexter	4	@hughhefner Make sure you & the girls watch seasons 1-5 of #Dexter, before season 6 premieres Oct 2.  Seasons 1 & 4 are the best!
105076027692302336	#dexter	5	Addicted to #Dexter... what's new. Almost done with season 5 and I just got it on Thursday!
103748679004987392	#dexter	5	Barely going to sleep after watching #dexter all evening! I love this show!
103535459300413440	#dexter	5	Beer and chicken night! Watching #Dexter till the working hours (11.59pm - 8 am) Maybe we should reserve the nickname "dexter"? Might be fun
100018263337078785	#dexter	4	Enjoying a night of #Dexter with @DomoniqueP07 :)
107551816442585088	#dexter	5	Finally starting the 5th season of #Dexter.  See ya later, weekend!
107641819298406400	#dexter	5	Fuck everyone else #dexter is my friend tonight. Bring it season 4
103610752316870656	#dexter	4	The complete 5th season of #Dexter is available on DVD today! Or you could just watch it On Demand.. http://ht.ly/64rcd
107355493328101376	#dexter	5	Yeah boiii #entourage tonight, so pissed that there's only 3 epsdes until it ends. Oh well on the up side #dexter season 6 starts soon...ish
263484862076420097	a$ap rocky	4	@roslyngjones I'm going Tuesday to the house of blues to see A$AP Rocky
263160058911789056	a$ap rocky	4	Not Available
264029423173521408	a$ap rocky	4	Whoever's going to A$AP Rocky wit me on the 8th better buy their tickets like today. I think imma get mine soon
