634484413091319808	mariah carey	0
634773010847825921	mariah carey	2
634865213741920256	mariah carey	1
635420954647232512	mariah carey	1
635483992528175104	mariah carey	1
635724781216624640	mariah carey	0
635885736412246016	mariah carey	1
636285195885252608	mariah carey	1
636315368592510976	mariah carey	1
636356188666368001	mariah carey	1
636389851613433856	mariah carey	0
636483025656782849	mariah carey	1
636603148111609857	mariah carey	0
636624281494024192	mariah carey	1
636935330084614145	mariah carey	1
637222599555162112	mariah carey	1
637606977812598784	mariah carey	1
637639346171047936	mariah carey	1
637657236278394880	mariah carey	1
637756111857315840	mariah carey	0
637813739547426816	mariah carey	1
637900302323187712	mariah carey	-1
637976099490656256	mariah carey	1
638000120898850819	mariah carey	1
638209563674591232	mariah carey	1
638231134187294720	mariah carey	0
638568109708697600	mariah carey	1
638991537490235392	mariah carey	1
639249890632159232	mariah carey	1
639322722326155264	mariah carey	1
639499085351886848	mariah carey	1
639523691789811712	mariah carey	1
639571474932699136	mariah carey	1
639737653081063424	mariah carey	1
639902397335236609	mariah carey	1
639967291388526593	mariah carey	1
639969142083194880	mariah carey	2
640003259583885313	mariah carey	1
640024856436719616	mariah carey	1
640111600314224640	mariah carey	1
640168030320885760	mariah carey	1
640234198985412608	mariah carey	1
640573855870910465	mariah carey	1
640662972298346496	mariah carey	-1
640673734957907968	mariah carey	-1
640681876752048128	mariah carey	1
640913783041343488	mariah carey	1
640980046879002626	mariah carey	1
641091293427269632	mariah carey	1
641126215131242496	mariah carey	1
641127881205125120	mariah carey	1
641140124533657600	mariah carey	1
641215079535542272	mariah carey	1
641417383886766080	mariah carey	1
641475570597933056	mariah carey	1
641631640511467520	mariah carey	1
639608392474988545	messi	1
639677670209404928	messi	0
639684828950978560	messi	1
639769119362039808	messi	0
639804600065871872	messi	1
639835615060754432	messi	1
639940842464088064	messi	2
639970516774744065	messi	1
639973074452877313	messi	1
639981530853580800	messi	2
639987143117398016	messi	2
639988878686859264	messi	1
640001012275654657	messi	1
640012178968350720	messi	1
640012189357637633	messi	-1
640097836512768000	messi	2
